Name,Label,Intensity,FractionalEnrichment,UnlabeledFragment,NACorrected,CellLine,GrowthConditions,Treatment,Media
glutamate,C13-label-5,0,0,glutamate,0.042736859,CFTr,Sphere,treated,Regular
glutamate,C13-label-5,14.69014,0.0004,glutamate,14.94302635,CFTr,Sphere,NA,Regular
glutamate,C13-label-5,0,0,glutamate,0.024877327,H1299,sphere,NA,Regular
glutamate,C13-label-5,0,0,glutamate,-0.282420605,H1299,sphere,NA,Regular
glutamate,C13-label-5,0,0,glutamate,-0.001086505,H1299,monolayer,NA,Regular
glutamate,C13-label-5,18,0.0051,glutamate,17.69174627,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,-0.067505692,H1299,monolayer,NA,Regular
glutamate,C13-label-5,78.80135,0.0018,glutamate,60.89929587,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,-0.251419131,CFTr,Sphere,NA,Regular
glutamate,C13-label-5,0,0,glutamate,-3.498782112,QC,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-0.092334206,Water,NA,NA,NA
glutamate,C13-label-5,340.5831,0.0113,glutamate,329.7164163,H1299,sphere,NA,C13 glucose
glutamate,C13-label-5,6.666667,0.002,glutamate,6.285278396,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-5,7.333333,0.0024,glutamate,7.413297758,CFTr,monolayer,treated,Regular
glutamate,C13-label-5,36,0.0022,glutamate,33.84196456,QC,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,0.021871623,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-5,131.3133,0.0069,glutamate,127.8046199,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-5,26,0.001,glutamate,26.25928123,H1299,sphere,NA,Regular
glutamate,C13-label-5,6.666667,0.0026,glutamate,6.348724245,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-5,86.70605,0.0025,glutamate,73.76757273,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,0.000670297,CFTr,monolayer,treated,Regular
glutamate,C13-label-5,0,0,glutamate,-0.211428042,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,0.004420158,CFTr,monolayer,NA,Regular
glutamate,C13-label-5,8.666667,0.0026,glutamate,6.912550829,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,0.007889173,H1299,monolayer,NA,Regular
glutamate,C13-label-5,419.5985,0.0169,glutamate,411.5857064,H1299,sphere,NA,C13 glucose
glutamate,C13-label-5,43.84983,0.0023,glutamate,40.83782387,QC,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-1.105864609,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,-0.188305196,CFTr,monolayer,treated,Regular
glutamate,C13-label-5,0,0,glutamate,0.024604946,CFTr,Sphere,treated,Regular
glutamate,C13-label-5,33.35506,0.001,glutamate,24.13402326,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-5,0,0,glutamate,-0.443248942,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-5,66.34058,0.003,glutamate,59.79020218,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-5,7.333333,0.0033,glutamate,6.515815328,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,-0.30734142,CFTr,Sphere,treated,Regular
glutamate,C13-label-5,0,0,glutamate,-0.435093027,CFTr,Sphere,NA,Regular
glutamate,C13-label-5,43.33333,0.0023,glutamate,40.310744,QC,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-0.060061768,QC,NA,NA,NA
glutamate,C13-label-5,0,0.0001,glutamate,0.003375094,Water,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-0.078815146,Metmix,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-0.092336013,ACN,NA,NA,NA
glutamate,C13-label-5,31.66667,0.8331,glutamate,32.0070953,Water,NA,NA,NA
glutamate,C13-label-5,213.2777,0.0071,glutamate,197.3648759,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-5,0,0,glutamate,0.003566844,CFTr,monolayer,NA,Regular
glutamate,C13-label-5,21,0.0009,glutamate,17.10718517,QC,NA,NA,NA
glutamate,C13-label-5,40.66667,0.0023,glutamate,39.76808055,QC,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,-7.83E-06,Metmix,NA,NA,NA
glutamate,C13-label-5,0,0,glutamate,0.001891273,CFTr,monolayer,NA,Regular
glutamate,C13-label-5,305.4857,0.0097,glutamate,286.4266173,H1299,sphere,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,0.64579834,CFTr,Sphere,treated,Regular
glutamate,C13-label-4,0,0,glutamate,1.198790609,CFTr,Sphere,NA,Regular
glutamate,C13-label-4,0,0,glutamate,0.349714928,H1299,sphere,NA,Regular
glutamate,C13-label-4,18,0.0006,glutamate,19.13757009,H1299,sphere,NA,Regular
glutamate,C13-label-4,0,0,glutamate,0.068710793,H1299,monolayer,NA,Regular
glutamate,C13-label-4,24.33333,0.0065,glutamate,22.40929457,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,-0.083761607,H1299,monolayer,NA,Regular
glutamate,C13-label-4,532.5532,0.0136,glutamate,454.2674397,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,0.00183368,CFTr,Sphere,NA,Regular
glutamate,C13-label-4,142.1127,0.0071,glutamate,126.5583105,QC,NA,NA,NA
glutamate,C13-label-4,6.666667,0.5017,glutamate,6.81357617,Water,NA,NA,NA
glutamate,C13-label-4,499.0391,0.0148,glutamate,434.2108889,H1299,sphere,NA,C13 glucose
glutamate,C13-label-4,19.66667,0.0056,glutamate,17.80853225,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-4,0,0,glutamate,0.126093619,CFTr,monolayer,treated,Regular
glutamate,C13-label-4,108.7482,0.0064,glutamate,99.30882421,QC,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,-1.51603099,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-4,233.4014,0.0113,glutamate,209.0105626,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-4,0,0,glutamate,-0.06524522,H1299,sphere,NA,Regular
glutamate,C13-label-4,10.41005,0.0037,glutamate,9.155241181,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-4,372.8038,0.011,glutamate,318.7012322,CFTr,Sphere,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,0.121523426,CFTr,monolayer,treated,Regular
glutamate,C13-label-4,0,0,glutamate,-1.766857393,CFTr,monolayer,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,0.135259111,CFTr,monolayer,NA,Regular
glutamate,C13-label-4,37.74339,0.0121,glutamate,32.26852232,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,-0.226557657,H1299,monolayer,NA,Regular
glutamate,C13-label-4,383.0439,0.0129,glutamate,314.0653615,H1299,sphere,NA,C13 glucose
glutamate,C13-label-4,195.41,0.0104,glutamate,185.6333256,QC,NA,NA,NA
glutamate,C13-label-4,18.21018,0.004,glutamate,12.43556954,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-4,13.60509,0.0053,glutamate,14.01048292,CFTr,monolayer,treated,Regular
glutamate,C13-label-4,0,0,glutamate,-0.037769615,CFTr,Sphere,treated,Regular
glutamate,C13-label-4,383.5308,0.0147,glutamate,349.8710602,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-4,12.66667,0.0035,glutamate,11.00590154,CFTr,monolayer,treated,C13 glucose
glutamate,C13-label-4,128.2527,0.0048,glutamate,97.13639606,CFTr,Sphere,treated,C13 glucose
glutamate,C13-label-4,31.78463,0.0155,glutamate,30.49006714,H1299,monolayer,NA,C13 glucose
glutamate,C13-label-4,0,0,glutamate,-0.509394909,CFTr,Sphere,treated,Regular
glutamate,C13-label-4,28.58628,0.0006,glutamate,27.76465658,CFTr,Sphere,NA,Regular
glutamate,C13-label-4,155.2714,0.0081,glutamate,142.1252431,QC,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,-0.167040813,QC,NA,NA,NA
glutamate,C13-label-4,0,0,glutamate,-0.233237786,Water,NA,NA,NA
