Date,Max Temp (C),Min Temp (C),Mean Temp (C),Total Rain (mm),Total Snow (cm)
2014-01-01,-16.5,-24.6,-20.6,0,0
2014-01-02,-22.6,-27.3,-25,0,1.4
2014-01-03,-19.2,-24.3,-21.8,0,0
2014-01-04,-8.6,-23.3,-16,0,0
2014-01-05,0.3,-12.6,-6.2,12.2,1.8
2014-01-06,7.1,-11.1,-2,14.3,0.4
2014-01-07,-11.1,-16.6,-13.9,0,0.2
2014-01-08,-8.7,-14.7,-11.7,0,0
2014-01-09,-7.8,-12.3,-10.1,0,0
2014-01-10,-4.5,-14.2,-9.4,0,0
2014-01-11,7.3,-6.4,0.5,6.2,0
2014-01-12,4.5,0.3,2.4,0,0
2014-01-13,5.1,-0.9,2.1,0,0
2014-01-14,4.2,-1.3,1.5,5.4,0
2014-01-15,1.9,-4.1,-1.1,0.2,0
2014-01-16,-0.5,-5.1,-2.8,0,0
2014-01-17,0.6,-5.2,-2.3,0,0.6
2014-01-18,2.4,-7,-2.3,0,0.2
2014-01-19,-2.2,-6.4,-4.3,0,1.4
2014-01-20,-6.4,-20.7,-13.6,0,1.6
2014-01-21,-19.1,-23.8,-21.5,0,0
2014-01-22,-17.6,-25.4,-21.5,0,0
2014-01-23,-17.5,-23.2,-20.4,0,0
2014-01-24,-9.7,-23.8,-16.8,0,0
2014-01-25,-5.3,-15.5,-10.4,0,2
2014-01-26,-13.8,-21.5,-17.7,0,0.4
2014-01-27,-6.4,-17.9,-12.2,0,5.6
2014-01-28,-10.8,-19.9,-15.4,0,0
2014-01-29,-9.6,-14.2,-11.9,0,0
2014-01-30,-4.4,-12.7,-8.6,0,0
2014-01-31,1.3,-7.1,-2.9,0,0
2014-02-01,-1.3,-10.9,-6.1,0,12
2014-02-02,-1.1,-7.9,-4.5,0,4.6
2014-02-03,-6.9,-15.3,-11.1,0,0
2014-02-04,-6.1,-16.8,-11.5,0,0
2014-02-05,-7.9,-15.6,-11.8,0,5.4
2014-02-06,-9.3,-20,-14.7,0,0.4
2014-02-07,-7.6,-12.9,-10.3,0,0
2014-02-08,-5.7,-12.3,-9,0,0
2014-02-09,-7.1,-12.5,-9.8,0,1.4
2014-02-10,-6.8,-16.1,-11.5,0,0.4
2014-02-11,-11.1,-19.6,-15.4,0,0
2014-02-12,-9.8,-23.1,-16.5,0,0
2014-02-13,-6.1,-18.4,-12.3,0,2
2014-02-14,-2.2,-6.1,-4.2,0,12.4
2014-02-15,-5.6,-11.8,-8.7,0,0
2014-02-16,-9.5,-15.8,-12.7,0,0
2014-02-17,-9.9,-17.4,-13.7,0,0
2014-02-18,-3.4,-15.6,-9.5,0,2.4
2014-02-19,1.5,-5.4,-2,0,0
2014-02-20,2.8,-4.9,-1.1,0,0
2014-02-21,4.2,-0.6,1.8,19.2,0
2014-02-22,6.1,-1.8,2.2,0,0
2014-02-23,1.7,-4.3,-1.3,0,0
2014-02-24,-4.3,-10.6,-7.5,0,0.2
2014-02-25,-9,-12.9,-11,0,0
2014-02-26,-9.7,-14.8,-12.3,0,1.6
2014-02-27,-6.9,-14.8,-10.9,0,0.4
2014-02-28,-12.1,-18.2,-15.2,0,0
2014-03-01,-3.4,-14.2,-8.8,0,2
2014-03-02,-5.5,-16.6,-11.1,0,0.6
2014-03-03,-13,-18.1,-15.6,0,0
2014-03-04,-11,-18.5,-14.8,0,1.4
2014-03-05,-9,-17.6,-13.3,0,0
2014-03-06,-6.9,-19.4,-13.2,0,0
2014-03-07,0.2,-17.8,-8.8,0,0
2014-03-08,3.3,-6.2,-1.5,0,0.8
2014-03-09,-3.8,-12.6,-8.2,0,3
2014-03-10,0.7,-5.4,-2.4,0,4
2014-03-11,5.2,0.2,2.7,0,0
2014-03-12,1.7,-11.9,-5.1,0,16.6
2014-03-13,-6.7,-15.6,-11.2,0,2.4
2014-03-14,2.1,-16.7,-7.3,0,0
2014-03-15,4.6,-8.4,-1.9,0.2,0.2
2014-03-16,-8.4,-14.1,-11.3,0,0
2014-03-17,-6.8,-16.8,-11.8,0,0
2014-03-18,-2.1,-13.8,-8,0,0
2014-03-19,3.2,-9,-2.9,1.4,0.4
2014-03-20,2.9,-0.3,1.3,2.4,0.2
2014-03-21,2.5,-3,-0.3,0,0.2
2014-03-22,0.6,-3.8,-1.6,0,9.6
2014-03-23,0,-13.6,-6.8,0,0
2014-03-24,-4.7,-16.5,-10.6,0,0
2014-03-25,-0.6,-11.7,-6.2,0,0
2014-03-26,-2.4,-10.4,-6.4,0,0
2014-03-27,-1.6,-13.1,-7.4,0,0.2
2014-03-28,4.1,-2.7,0.7,9.2,4.2
2014-03-29,3.2,0.5,1.9,0,0
2014-03-30,0.5,-1.4,-0.5,0,15.2
2014-03-31,6.2,-1.8,2.2,0,0
2014-04-01,5,-3.5,0.8,0,0
2014-04-02,5,1.2,3.1,0,0
2014-04-03,2.9,-2.2,0.4,0,0
2014-04-04,7,-3.4,1.8,16.8,0
2014-04-05,4.7,0.4,2.6,1.2,0
2014-04-06,7.1,-1.2,3,0,0
2014-04-07,13,-0.1,6.5,6.4,0
2014-04-08,5.2,2.6,3.9,22.6,0
2014-04-09,4.8,-0.9,2,0,0
